Nome na Plataforma,Dataset relacionado,Nome na consulta,Nome no desenvolvimento,Tabela do Banco
entity_id,,entity_id,entityId,jumper_tasks (jt)
id,,id,taskId,jumper_tasks (jt)
collection_id,,collection_id,collectionId,umode_products (p)
brand_id,,brand_id,brandId,umode_collections (c)
target_id,,assignment_target_id,targetIdAssigment,jumper_user_or_policy_accesses (juopa)
description,,description,taskDescription,jumper_tasks (jt)
id,,task_relationship_id,recordTypeByTaskRelationshipId,jumper_task_relationships (jtr)
name,,created_by_name,taskCreatedByName,jumper_users (ju)
name,,collection_name,collectionName,umode_collections (c)
status,,assigned_user_status,userAssignedStatus,jumper_users (ju_assigned)
name,,completed_by_name,taskCompletedByName,jumper_users (ju2)
time,,time,taskTime,jumper_tasks (jt)
title,,title,taskTitle,jumper_tasks (jt)
record_type,,task_relationship_record_type,recordTypeByTaskRelationshipName,jumper_task_relationships (jtr)
status,,status,taskStatus,jumper_tasks (jt)
email,,assigned_user_email,userAssignedEmail,jumper_users (ju_assigned)
completed_at,,completed_at,taskCompletedAt,jumper_tasks (jt)
name,,brand_name,brandName,umode_brands (b)
name,,user_policy_assigned_name,userAssignedPolicyName,policies (pol_user)
updated_at,,updated_at,taskUpdatedAt,jumper_tasks (jt)
name,,assigned_policy_name,policyAssignedName,policies (pol)
record_id,,assigned_record_id,recordIdAssigned,jumper_user_or_policy_accesses (juopa)
email,,created_by_email,taskCreatedByEmail,jumper_users (ju)
completed_by_id,,completed_by_id,taskCompletedById,jumper_tasks (jt)
target_type,,assignment_target_type,targetTypeAssigment,jumper_user_or_policy_accesses (juopa)
email,,completed_by_email,taskCompletedByEmail,jumper_users (ju2)
created_at,,created_at,taskCreatedAt,jumper_tasks (jt)
record_type,,assigned_record_type,recordTypeAssigned,jumper_user_or_policy_accesses (juopa)
created_by_id,,created_by_id,taskCreatedById,jumper_tasks (jt)
name,,task_type_name,taskTypeName,jumper_task_types (jtt)
record_id,,product_datasheet_id,productIdUmode,jumper_task_relationships (jtr)
policy_id,,user_policy_assigned_id,userAssignedPolicyId,"subquery
  valid roles (rv ← user_roles ur)"
id,,assignment_id,assignmentId,jumper_user_or_policy_accesses (juopa)
name,,assigned_user_name,userAssignedName,jumper_users (ju_assigned)
deadline,,deadline,taskDeadline,jumper_tasks (jt)
